title	link	date	abstract	author	surtitle	source
Houthis ziehen sich aus Hafenstadt zurück	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190512_6183402	2019-05-12	"Im Bürgerkriegsland Jemen haben die schiitischen Houthi-Rebellen nach eigenen Angaben mit dem vereinbarten Abzug aus der strategisch wichtigen ...
         ..Im Bürgerkriegsland Jemen haben die schiitischen Houthi-Rebellen nach eigenen Angaben mit dem vereinbarten Abzug aus der..  ..Im Februar hatten sich die international anerkannte Regierung im Jemen mit den Houthis auf den Abzug geeinigt, um eine Ende..  ..Der Jemen ist eines der ärmsten Länder der arabischen Welt und leidet seit 2014 unter dem Konflikt zwischen den von Saudi-Arabien.."		Krieg im Jemen	FAZ
Acht Tote bei Überschwemmungen im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220724_8196314	2022-07-24	"Nach starkem Regen im Jemen sind mindestens acht Menschen in den Fluten ums Leben gekommen. In Sanaa starben zwei Kinder, als ihr Haus wegen ...
         ..Bei Überschwemmungen nach starkem Regen sind im Jemen mindestens acht Menschen ums Leben gekommen...  ..Im Jemen tobt seit Jahren ein Bürgerkrieg, der in dem Land auf der Arabischen Halbinsel eine der schwersten humanitären Krisen.."		Kinder unter den Opfern	FAZ
Eine halbe Million Cholera-Fälle im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201708155207780	2017-08-15	"GENF, 14. August (dpa). Die Cholera-Epidemie im Bürgerkriegsland Jemen hat die Marke von 500 000 Fällen überschritten. Fast 2000 Menschen seien ...
         ..Die Cholera-Epidemie im Bürgerkriegsland Jemen hat die Marke von 500 000 Fällen überschritten...  ..Die Epidemie im Jemen ist der größte bisher erfasste Ausbruch der Infektionskrankheit auf der ganzen Welt..."			FAZ
Eine halbe Million Cholera-Fälle im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20170814_5150899	2017-08-14	"Die Cholera-Epidemie im Bürgerkriegsland Jemen hat die Marke von 500.000 Fällen überschritten. Fast 2000 Menschen seien schon an der gefährlichen ...
         ..Die Cholera-Epidemie im Bürgerkriegsland Jemen hat die Marke von 500.000 Fällen überschritten...  ..Die Epidemie im Jemen ist der größte bisher erfasste Ausbruch der Infektionskrankheit auf der ganzen Welt..."		5000 Infektionen pro Tag	FAZ
Flüchtlinge ertrinken vor Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201708115204949_5	2017-08-11	"Nach Angaben der Internationalen Organisation für Migration (IOM) haben Schlepper vor der Küste Jemens zahlreiche Migranten aus Somalia und ...
         ..Trotz des Bürgerkriegs im Jemen kamen in den vergangenen Jahren immer wieder Flüchtlingsboote aus Somalia nach Jemen..."		Wichtiges in Kürze	FAZ
Schlepper stoßen Flüchtlinge ins Meer	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20170810_5144663	2017-08-10	"Nach Angaben der Internationalen Organisation für Migration (IOM) sind vor der Küste des Jemen mindestens 29 Flüchtlinge ums Leben gekommen. ...
         ..Nach Angaben der Internationalen Organisation für Migration (IOM) sind vor der Küste des Jemen mindestens 29 Flüchtlinge.."		Drama vor Küste Jemens	FAZ
Land am Abgrund	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201707255191633	2017-07-25	"So rasch wie derzeit im Jemen hat sich noch nirgends die Cholera ausgebreitet. Ausgebrochen war sie Ende April, drei Monate später sind bereits ...
         ..So rasch wie derzeit im Jemen hat sich noch nirgends die Cholera ausgebreitet...  ..Bisher sind im Jemen 1800 Menschen an der Krankheit gestorben...  ..Zusätzlich kompliziert die Qatar-Krise den Krieg im Jemen..."		Im Jemen breitet sich die Cholera schneller aus als bei allen früheren Epidemien / Von Rainer Hermann	FAZ
Die Epidemie, die das Land ins Chaos stürzt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20170724_5120224	2017-07-24	"So rasch wie derzeit im Jemen hat sich noch nirgends die Cholera ausgebreitet. Ausgebrochen war sie Ende April, drei Monate später sind bereits ...
         ..So rasch wie derzeit im Jemen hat sich noch nirgends die Cholera ausgebreitet...  ..Bisher sind im Jemen 1800 Menschen an der Krankheit gestorben...  ..Zusätzlich kompliziert die Qatar-Krise den Krieg im Jemen..."	Rainer Hermann	Cholera im Jemen	FAZ
Tote bei Luftangriff im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201707205188446_7	2017-07-20	"Bei einem Luftangriff der saudi-arabisch geführten Militärkoalition im Jemen sind mindestens 20 Zivilisten getötet worden. Unter den Opfern ...
         ..Bei einem Luftangriff der saudi-arabisch geführten Militärkoalition im Jemen sind mindestens 20 Zivilisten getötet worden.."		Wichtiges in Kürze	FAZ
Ringen um Hilfe für Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202006036013518_2	2020-06-03	"Wegen ausbleibender Spendengelder droht 30 der 41 wichtigsten UN-Hilfsprogramme im Jemen in wenigen Wochen das Aus. ""Wir hatten noch nie so ...
         ..Wegen ausbleibender Spendengelder droht 30 der 41 wichtigsten UN-Hilfsprogramme im Jemen in wenigen Wochen das Aus...  ..""Wir hatten noch nie so wenig Geld für Hilfseinsätze im Jemen zu diesem Zeitpunkt im Jahr"", sagte UN-Generalsekretär António..  ..Guterres am Dienstag zum Auftakt einer virtuellen Geberkonferenz für den Jemen..."		Wichtiges in Kürze	FAZ
